sim;PR2;PR5;PR10;PR20;TR;PHI;Temp;BGF;Inv;Maint;UNA;GA;CO2;TSS;TP;TN;Cu;Pb;Zn
sim83;0.38;0.2;0.12;0.22;0.41;0.39;0.0016;0.28;2110820.547;118200.7002;75.85785527;1538.09524;1144.665333;0.76;0.75;0.74;0.75;0.76;0.76
sim84;0.17;0.15;0.15;0.16;0.48;0.46;0.0012;0.13;735438.3172;40839.00345;45.19717434;572.77666;1031.947151;0.52;0.52;0.52;0.52;0.52;0.52
sim85;0.35;0.3;0.28;0.33;0.49;0.45;0.0012;0.13;724675.555;40696.92822;56.44637722;601.994703;516.2372211;0.84;0.84;0.84;0.84;0.84;0.84
sim86;0.46;0.38;0.4;0.42;0.24;0.23;0.002;0.41;3356445.486;194846.4563;62.74837057;2462.619686;1845.626584;0.55;0.31;0.39;0.42;0.54;0.55
sim87;0.27;0.26;0.27;0.28;0.18;0.18;0.0008;0.2;1431115.973;78911.71219;61.414373;1038.113952;773.54654;0.78;0.75;0.76;0.76;0.78;0.78
sim88;0.1;0.08;0.09;0.08;0.32;0.3;0.0023;0.46;2618942.872;155627.7829;65.47219708;2034.831704;4014.561791;0.4;0.39;0.39;0.39;0.4;0.4
sim89;0.32;0.21;0.21;0.22;0.21;0.21;0.002;0.42;2169337.104;120760.1328;67.6565885;1537.050997;3101.048199;0.35;0.04;0.17;0.2;0.34;0.35
sim90;0.46;0.46;0.48;0.45;0.45;0.43;0.0012;0.27;1353275.858;76259.30856;58.80680941;1027.365688;1968.428874;0.61;0.6;0.61;0.61;0.61;0.61
sim91;0.25;0.21;0.23;0.23;0.49;0.45;0.0016;0.25;1993276.879;116977.0471;48.17074759;1519.474236;1141.891969;0.44;0.24;0.32;0.33;0.43;0.44
sim92;0.13;0.01;0.03;0.06;0.6;0.59;0.0008;0.1;755824.8892;41121.49636;49.69437803;581.4707108;365.5305033;0.33;0.33;0.33;0.33;0.33;0.33
sim93;0.16;0.06;0.09;0.16;0.59;0.55;0.0012;0.28;1427101.64;77855.09899;63.94047509;1027.996862;1981.06074;0.81;0.72;0.76;0.77;0.81;0.81
sim94;0.48;0.42;0.42;0.44;0.21;0.2;0.0016;0.28;2117535.568;119056.8607;69.55872005;1539.874734;1155.163561;0.49;0.31;0.38;0.4;0.48;0.49
